user,text,refined
VasuGhs,"b'Feel like a #Social_media_soldier at #PSOSMatIIITH #Day0 with @ponguru @devvarma Rob Sherman , Prof. Krishna Gumadi\xe2\x80\xa6 https://t.co/N2kUMUAgeI'",feel like socialmediasoldi psosmatiiith day0 rob sherman prof krishna gumadi…
ponguru,b'.@TweetDivyansh conducting the Lab session at #psosmatiiith https://t.co/9aoi5vhLvJ',conduct lab session psosmatiiith
rmsherman,"b""Really enjoyed @ponguru's invitation for a great discussion on data and privacy in social media at today's #PSOSMatIIITH event.""",realli enjoy invit great discus data privaci social medium today psosmatiiith event
ponguru,b'Deputy CPO @facebook at #psosmatiiith Thanks @rmsherman @snegho @raghavsethi Super Thrilled!!! https://t.co/gLT7LOdb6D',deputi cpo psosmatiiith thank super thrill
devvarma,b'#psosmatiiith @ponguru promises energy shots all through the summer school \xf0\x9f\x98\x8e\xf0\x9f\x8d\xb7 https://t.co/uhLgJmroBn',psosmatiiith promis energi shot summer school
Srishti_Gupta14,"b'Privacy is not living in solitude, but being cautious, Mr. Rob Sherman, Deputy CPO@Facebook #psosmatiiith #facebook https://t.co/8YHJO4YpKQ'",privaci live solitud cautiou Mr rob sherman deputi cpo psosmatiiith facebook
devvarma,b'Rob Sherman dy chief privacy officer talking about making privacy personal at #PSOSMatIIITH at @iiit_hyderabad https://t.co/3u75D4xPZd',rob sherman dy chief privaci offic talk make privaci person psosmatiiith
ponguru,b'Director Prof. PJN welcoming students to the #psosmatiiith https://t.co/wG4Sr27kcF',director prof pjn welcom student psosmatiiith
anupamaa12,b'All student organisers before the event kicks off... #PSOSMatIIITH https://t.co/NC2oaTgAC1',all student organis event kick psosmatiiith
ponguru,b'Registration #psosmatiiith https://t.co/jMSghFJkts',registr psosmatiiith
ponguru,b'Power behind the #PSOSMatIIITH https://t.co/Arhks2MgV2',power behind psosmatiiith
ponguru,b'Stage getting set #PSOSMatIIITH https://t.co/yem277yWhN',stage get set psosmatiiith
ponguru,"b""Hon'ble Union Minister of Road Transport @nitin_gadkari refers to our work #Selfie Deaths https://t.co/irLQ2LnUiF W\xe2\x80\xa6 https://t.co/cUcdgDeGS7""",honbl union minist road transport refer work selfi death W…
RachitUppal,b'Data is the new OIL #BigData https://t.co/yeXSypOVu5',data new oil bigdata
ponguru,b'.@facebook event for our #summer #school on #Privacy and #Security in #SocialMedia @iiit_hyderabad\xe2\x80\xa6 https://t.co/IYiOJ0zPoQ',event summer school privaci secur socialmedia
_DigitalIndia,"b""Hon'ble MoS @GoI_MeitY Sh. @ppchaudharyMoS interacting with Twitter's APAC MD @maya_hari &amp; @RachitUppal\xe2\x80\xa6 https://t.co/j7NBK4pHXD""",honbl mo Sh interact twitter apac MD amp
ponguru,b'Registration open! #SummerSchool on #Privacy and #Security in #OnlineSocialNetworks. Register at\xe2\x80\xa6 https://t.co/qh98KIx4IJ',registr open summerschool privaci secur onlinesocialnetwork regist at…
explorables,b'Immersive Linear Algebra https://t.co/670NXshWzn An online textbook with interactive figures https://t.co/t0sT6aZodF',immers linear algebra An onlin textbook interact figur
